P3_DS_Arm_Mag_L,P4_DS_Arm_W,P6_DS_Arm_Th,P9_DS_Mag_H,P11_DS_Mag_W,P18_DS_Core_Gap,P19_DS_Core_R,P22_DS_Bobbin_Th,P23_DS_Coil_Th,P273_Arm_L,P69_DS_No_Turns,P60_DS_Core_Len,P61_DS_Wire_dia_mm,P62_DS_N_Len,P63_DS_N_Th,P66_DS_Capacitance,P67_DS_VCap,P190_Time_Ipeak,P191_Vcap_max,P192_Vcap_min,P193_E_per_Farad,P194_Time_1mm,P195_Time_Parting,P350_Time_1mm_Final,P351_Time_Parting_Final
7.152528346,17.11867914,1.70169246,4.705098072,2.294901928,1.55,2.027120748,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.523048498,60.10154763,185,0.00139375,0.00139373,0.00139373,368.0228321,95.55088623,450.8279693,103.1949571
7.152528346,17.11867914,1.70169246,4.705098072,2.294901928,1.55,1.772879252,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.806951502,77.89845237,220,0.00256308,0.002562809,0.002562809,371.0829484,97.4556777,454.5766118,105.2521319
7.152528346,17.11867914,1.70169246,4.705098072,2.294901928,1.55,1.772879252,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.806951502,60.10154763,160,0.001337101,0.001337164,0.001337164,363.5381042,92.9291599,445.3341776,100.3634927
7.152528346,17.11867914,1.70169246,4.705098072,3.905098072,1.55,2.027120748,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.523048498,77.89845237,225,0.002787077,0.00278728,0.00278728,336.5127741,110.3885291,412.2281483,119.2196115
7.152528346,17.11867914,1.70169246,4.705098072,3.905098072,1.55,1.772879252,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.806951502,60.10154763,175,0.001246772,0.001247177,0.001247177,356.9867995,116.2081268,437.3088293,125.5047769
7.152528346,17.11867914,1.70169246,4.705098072,3.905098072,1.55,2.027120748,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.523048498,60.10154763,185,0.001466464,0.001466399,0.001466399,346.5580735,111.2839016,424.53364,120.1866137
7.152528346,17.11867914,1.99830754,3.094901928,2.294901928,1.55,2.027120748,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.523048498,60.10154763,265,0.002547068,0.002547793,0.002547793,408.1669003,116.8074177,500.0044528,126.1520111
7.152528346,17.11867914,1.99830754,3.094901928,2.294901928,1.55,1.772879252,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.806951502,77.89845237,150,0.001425728,0.001425558,0.001425558,374.4752568,93.93655121,458.7321896,101.4514753
7.152528346,17.11867914,1.99830754,3.094901928,2.294901928,1.55,2.027120748,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.523048498,77.89845237,155,0.001680254,0.0016803,0.0016803,370.2431821,91.80785875,453.5478981,99.15248745
7.152528346,17.11867914,1.99830754,3.094901928,3.905098072,1.55,2.027120748,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.523048498,77.89845237,165,0.001567129,0.001567258,0.001567258,353.1266934,109.1138179,432.5801994,117.8429234
